text,label
"Java Spring Boot REST API JPA Hibernate MySQL authentication jwt","Backend Developer"
"Spring Boot rest api mysql docker","Backend Developer"
"Java collections multithreading sql rest","Backend Developer"
"Angular TypeScript HTML CSS responsive UI components","Frontend Developer"
"React JavaScript CSS UI UX components","Frontend Developer"
"HTML CSS JavaScript forms routing","Frontend Developer"
"Python pandas numpy data cleaning visualization","Data Analyst"
"SQL queries joins excel dashboard reporting","Data Analyst"
"Power BI tableau sql analysis python","Data Analyst"
"Docker linux ci cd pipelines aws cloud deployment","DevOps Engineer"
"Kubernetes docker monitoring logs linux","DevOps Engineer"
"Azure devops docker containers ci cd","DevOps Engineer"
